competition,match_id,date,season,team,opponent,win,chase,close_game,run_diff,runs,legal_balls_faced,runs_allowed,legal_balls_bowled,wickets_lost,wickets_taken,dot_balls_bat,dot_balls_bowl,boundaries,pp_runs,pp_legal_balls,death_runs,death_legal_balls,fielding_dismissals,run_rate,runs_per_ball,dot_ball_rate_bat,dot_ball_rate_bowl,bowler_wkts_per_match,powerplay_economy,death_economy,runs_allowed_per_legal_ball,boundary_rate_per_ball,death_run_rate,powerplay_run_rate,fielding_dismissals_per_match,n_matches,EDGE
CPL,1011497,2016-07-21,2016,St Lucia Zouks,St Kitts and Nevis Patriots,1,0,0,35,174,120,139,120,9,9,44,46,20,56,36,57,30,16,8.7,1.45,0.36666666666666664,0.38333333333333336,9,9.333333333333334,11.399999999999999,1.1583333333333334,0.16666666666666666,11.399999999999999,9.333333333333334,16,9,73.71794871794873
CPL,1011497,2016-07-21,2016,St Kitts and Nevis Patriots,St Lucia Zouks,0,1,0,-35,139,120,174,120,9,9,46,44,14,46,36,20,30,16,6.950000000000001,1.1583333333333334,0.38333333333333336,0.36666666666666664,9,7.666666666666666,4.0,1.45,0.11666666666666667,4.0,7.666666666666666,16,8,30.128205128205128
CPL,1011501,2016-07-24,2016,Guyana Amazon Warriors,St Lucia Zouks,0,0,0,-3,159,120,162,97,5,1,46,22,20,28,36,48,30,3,7.949999999999999,1.325,0.38333333333333336,0.2268041237113402,1,4.666666666666667,9.600000000000001,1.6701030927835052,0.16666666666666666,9.600000000000001,4.666666666666667,3,9,0.641025641025641
CPL,1011501,2016-07-24,2016,St Lucia Zouks,Guyana Amazon Warriors,1,1,0,3,162,97,159,120,1,5,22,46,19,47,36,12,7,3,10.02061855670103,1.6701030927835052,0.2268041237113402,0.38333333333333336,5,7.833333333333334,10.285714285714285,1.325,0.1958762886597938,10.285714285714285,7.833333333333334,3,9,73.71794871794873
CPL,1011503,2016-07-26,2016,St Lucia Zouks,Trinbago Knight Riders,0,0,1,-1,167,120,168,114,6,7,33,45,15,47,36,60,30,8,8.35,1.3916666666666666,0.275,0.39473684210526316,7,7.833333333333334,12.0,1.4736842105263157,0.125,12.0,7.833333333333334,8,9,73.71794871794873
CPL,1011503,2016-07-26,2016,Trinbago Knight Riders,St Lucia Zouks,1,1,1,1,168,114,167,120,7,6,45,33,21,38,36,50,24,8,8.842105263157894,1.4736842105263157,0.39473684210526316,0.275,6,6.333333333333334,12.5,1.3916666666666666,0.18421052631578946,12.5,6.333333333333334,8,12,72.43589743589743
CPL,1018873,2016-07-10,2016,Trinbago Knight Riders,Guyana Amazon Warriors,1,0,1,7,151,120,144,120,4,9,36,51,15,36,36,54,30,8,7.55,1.2583333333333333,0.3,0.425,9,6.0,10.8,1.2,0.125,10.8,6.0,8,12,72.43589743589743
CPL,1018873,2016-07-10,2016,Guyana Amazon Warriors,Trinbago Knight Riders,0,1,1,-7,144,120,151,120,9,4,51,36,15,28,36,56,30,8,7.199999999999999,1.2,0.425,0.3,4,4.666666666666667,11.2,1.2583333333333333,0.125,11.2,4.666666666666667,8,9,0.641025641025641
CPL,1019645,2016-07-13,2016,Barbados Tridents,St Kitts and Nevis Patriots,1,0,0,25,180,120,155,120,6,8,42,41,22,34,36,61,30,9,9.0,1.5,0.35,0.3416666666666667,8,5.666666666666666,12.2,1.2916666666666667,0.18333333333333332,12.2,5.666666666666666,9,7,28.846153846153843
CPL,1019645,2016-07-13,2016,St Kitts and Nevis Patriots,Barbados Tridents,0,1,0,-25,155,120,180,120,8,6,41,42,17,55,36,41,30,9,7.75,1.2916666666666667,0.3416666666666667,0.35,6,9.166666666666666,8.2,1.5,0.14166666666666666,8.2,9.166666666666666,9,8,30.128205128205128
CPL,1019647,2016-07-16,2016,Barbados Tridents,Trinbago Knight Riders,0,0,0,-1,172,120,173,106,4,3,38,26,18,32,36,59,30,6,8.6,1.4333333333333333,0.31666666666666665,0.24528301886792453,3,5.333333333333333,11.799999999999999,1.6320754716981132,0.15,11.799999999999999,5.333333333333333,6,7,28.846153846153843
CPL,1019647,2016-07-16,2016,Trinbago Knight Riders,Barbados Tridents,1,1,0,1,173,106,172,120,3,4,26,38,19,52,36,28,16,6,9.79245283018868,1.6320754716981132,0.24528301886792453,0.31666666666666665,4,8.666666666666666,10.5,1.4333333333333333,0.1792452830188679,10.5,8.666666666666666,6,12,72.43589743589743
CPL,1019649,2016-07-17,2016,Barbados Tridents,St Lucia Zouks,1,0,0,25,173,120,148,120,5,8,38,50,22,28,36,60,30,7,8.65,1.4416666666666667,0.31666666666666665,0.4166666666666667,8,4.666666666666667,12.0,1.2333333333333334,0.18333333333333332,12.0,4.666666666666667,7,7,28.846153846153843
CPL,1019649,2016-07-17,2016,St Lucia Zouks,Barbados Tridents,0,1,0,-25,148,120,173,120,8,5,50,38,15,36,36,43,30,7,7.4,1.2333333333333334,0.4166666666666667,0.31666666666666665,5,6.0,8.6,1.4416666666666667,0.125,8.6,6.0,7,9,73.71794871794873
CPL,1019769,2016-07-15,2016,Guyana Amazon Warriors,Jamaica Tallawahs,0,0,0,-4,128,120,132,95,6,5,50,36,12,46,36,37,30,7,6.4,1.0666666666666667,0.4166666666666667,0.37894736842105264,5,7.666666666666666,7.4,1.3894736842105264,0.1,7.4,7.666666666666666,7,9,0.641025641025641
CPL,1019769,2016-07-15,2016,Jamaica Tallawahs,Guyana Amazon Warriors,1,1,0,4,132,95,128,120,5,6,36,50,17,60,36,9,5,7,8.336842105263159,1.3894736842105264,0.37894736842105264,0.4166666666666667,6,10.0,10.8,1.0666666666666667,0.17894736842105263,10.8,10.0,7,11,96.7948717948718
CPL,1019771,2016-07-16,2016,Jamaica Tallawahs,St Kitts and Nevis Patriots,1,0,0,108,183,120,75,95,6,10,43,58,24,59,36,52,30,12,9.149999999999999,1.525,0.35833333333333334,0.6105263157894737,10,9.833333333333332,10.4,0.7894736842105263,0.2,10.4,9.833333333333332,12,11,96.7948717948718
CPL,1019771,2016-07-16,2016,St Kitts and Nevis Patriots,Jamaica Tallawahs,0,1,0,-108,75,95,183,120,10,6,58,43,9,33,36,0,5,12,4.7368421052631575,0.7894736842105263,0.6105263157894737,0.35833333333333334,6,5.5,0.0,1.525,0.09473684210526316,0.0,5.5,12,8,30.128205128205128
